,bookID,title,average_rating,num_pages,ratings_count,text_reviews_count,publication_date,publisher,language_name,author,genre
12,21,A Short History of Nearly Everything,4.21,544,248558,9396,2004-09-14,Broadway Books,English,Bill Bryson,Nonfiction
13,22,Bill Bryson's African Diary,3.44,55,7270,499,2002-12-03,Broadway Books,English,Bill Bryson,Travel
14,23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,3.87,256,2088,131,2004-09-14,Broadway Books,English,Bill Bryson,Nonfiction
15,24,In a Sunburned Country,4.07,335,72451,4245,2001-05-15,Broadway Books,English,Bill Bryson,Travel
16,25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,3.9,304,49240,2211,2000-06-28,Broadway Books,English,Bill Bryson,Nonfiction
17,26,The Lost Continent: Travels in Small Town America,3.83,299,45712,2257,1990-08-28,William Morrow Paperbacks,English,Bill Bryson,Travel
18,27,Neither Here nor There: Travels in Europe,3.86,254,48701,2238,1993-03-28,William Morrow Paperbacks,English,Bill Bryson,Travel
19,28,Notes from a Small Island,3.91,324,80609,3301,1997-05-28,William Morrow Paperbacks,English,Bill Bryson,Travel
20,29,The Mother Tongue: English and How It Got That Way,3.93,270,28489,2085,1991-09-28,William Morrow Paperbacks,English,Bill Bryson,Nonfiction
21,30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,4.59,1728,101233,1550,2012-09-25,Ballantine Books,English,J.R.R. Tolkien,Fantasy
22,31,The Lord of the Rings (The Lord of the Rings  #1-3),4.5,1184,1710,91,2004-10-21,Houghton Mifflin Harcourt,English,J.R.R. Tolkien,Fantasy
23,34,The Fellowship of the Ring (The Lord of the Rings  #1),4.36,398,2128944,13670,2003-09-05,Houghton Mifflin Harcourt,English,J.R.R. Tolkien,Fantasy
24,35,The Lord of the Rings (The Lord of the Rings  #1-3),4.5,1216,1618,140,2002-10-01,Houghton Mifflin Harcourt,English,J.R.R. Tolkien,Fantasy
25,36,The Lord of the Rings: Weapons and Warfare,4.53,218,19822,46,2003-11-05,Houghton Mifflin Harcourt,English,Chris   Smith,Fantasy
26,37,The Lord of the Rings: Complete Visual Companion,4.5,224,359,6,2004-11-15,Houghton Mifflin Harcourt,English,Jude Fisher,Fantasy
27,45,Agile Web Development with Rails: A Pragmatic Guide,3.84,558,1430,59,2005-07-28,Pragmatic Bookshelf,English,Dave Thomas,Programming
28,50,Hatchet (Brian's Saga  #1),3.72,208,270244,12017,2000-04-01,Atheneum Books for Young Readers: Richard Jackson Books,English,Gary Paulsen,Young Adult
29,51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",4.0,48,36,2,1994-08-28,Teacher Created Resources,English,Donna Ickes,blank
30,53,Guts: The True Stories behind Hatchet and the Brian Books,3.88,144,2067,334,2001-01-23,Delacorte Press,English,Gary Paulsen,Nonfiction
31,54,Molly Hatchet - 5 of the Best,4.33,56,6,0,2003-06-10,Cherry Lane Music Company,English,Molly Hatchet,blank
32,55,Hatchet Jobs: Writings on Contemporary Fiction,3.45,228,99,16,2005-11-01,The New Press,English,Dale Peck,Nonfiction
33,57,A Changeling for All Seasons (Changeling Seasons #1),3.76,304,167,4,2005-11-01,Changeling Press,English,Angela Knight,Romance
34,58,Changeling (Changeling  #1),3.6,256,978,111,2006-08-17,Viking Juvenile,English,Delia Sherman,Fantasy
35,59,The Changeling Sea,4.06,137,4454,302,2003-04-14,Firebird,English,Patricia A. McKillip,Fantasy
36,61,The Changeling,4.17,228,1176,96,2004-06-08,iUniverse,English,Zilpha Keatley Snyder,Fiction
37,63,The Changeling,3.55,339,301,43,2005-04-12,Shambhala,English,Kate Horsley,Historical Fiction
38,66,The Changeling (Daughters of England  #15),3.98,369,345,12,1990-08-28,Ivy Books,English,Philippa Carr,Historical Fiction
39,67,The Known World,3.83,388,29686,2626,2006-08-29,Amistad,English,Edward P. Jones,Historical Fiction
40,68,The Known World,3.83,14,55,12,2004-06-15,HarperAudio,English,Edward P. Jones,Historical Fiction
41,69,The Known World,3.83,576,22,3,2004-06-15,Harper,English,Edward P. Jones,Historical Fiction
42,71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,3.83,334,1456,82,2006-05-15,FT Press,English,Satyajit Das,Finance
43,72,Artesia: Adventures in the Known World,4.13,352,52,4,2005-12-14,Archaia,English,Mark Smylie,Fantasy
44,74,The John McPhee Reader (John McPhee Reader  #1),4.42,416,562,37,1982-06-01,Farrar  Straus and Giroux,English,John McPhee,Nonfiction
45,75,Uncommon Carriers,3.95,248,1630,203,2006-05-16,Farrar Straus Giroux,English,John McPhee,Nonfiction
46,76,Heirs of General Practice,4.17,128,268,22,1986-04-01,Farrar  Straus and Giroux,English,John McPhee,Nonfiction
47,77,The Control of Nature,4.24,288,3498,305,1990-09-01,Farrar  Straus and Giroux,English,John McPhee,Nonfiction
48,78,Annals of the Former World,4.34,720,3115,228,1999-01-06,Farrar  Straus and Giroux,English,John McPhee,Science
49,79,Coming Into the Country,4.22,448,5704,261,1991-04-01,Farrar  Straus and Giroux,English,John McPhee,Nonfiction
50,80,La Place de la Concorde Suisse,3.92,160,698,52,1994-04-01,Farrar  Straus and Giroux,French,John McPhee,Nonfiction
51,81,Giving Good Weight,4.23,288,542,36,1994-04-01,Farrar  Straus and Giroux,English,John McPhee,Nonfiction
52,83,Rising from the Plains,4.23,208,1341,98,1987-11-01,Farrar  Straus and Giroux,English,John McPhee,Nonfiction
53,85,The Heidi Chronicles,3.75,81,1423,70,2002-03-01,Dramatists Play Service,English,Wendy Wasserstein,Plays
54,86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,3.84,249,2766,64,1991-07-02,Vintage,English,Wendy Wasserstein,Plays
55,89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,3.94,138,31,1,2006-03-29,Routledge,English,Heidi Hayes Jacobs,Teaching
56,90,Simply Beautiful Beaded Jewelry,3.77,128,62,4,2006-03-14,North Light Books,English,Heidi Boyd,Crafts
57,91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,4.46,192,860,53,2003-09-01,Chosen Books,English,Heidi Baker,Christian
58,92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,3.68,108,77,2,1997-01-28,Association for Supervision & Curriculum Development,English,Heidi Hayes Jacobs,Education
59,93,Heidi (Heidi  #1-2),3.99,352,153317,2257,2002-11-15,Kingfisher,English,Johanna Spyri,Classics
60,94,Getting Results with Curriculum Mapping,3.25,192,55,5,2004-11-15,ASCD,English,Heidi Hayes Jacobs,Education
61,96,There's Always Enough: The Miraculous Move of God in Mozambique,4.46,192,34,6,2003-04-28,Sovereign World,English,Rolland Baker,Christian
62,98,What to Expect the First Year (What to Expect),3.89,832,11797,659,2003-10-16,Workman Publishing Company,English,Heidi Murkoff,Parenting
63,99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,3.82,123,34,8,2004-05-10,One Hour Entertainment,English,Heidi Fleiss,Self Help
64,100,Simply Beautiful Beading: 53 Quick and Easy Projects,3.78,128,78,4,2004-08-19,North Light Books,English,Heidi Boyd,Crafts
65,103,God Emperor of Dune (Dune Chronicles  #4),3.84,423,2785,166,1987-06-15,Ace Books,English,Frank Herbert,Science Fiction
66,105,Chapterhouse: Dune (Dune Chronicles #6),3.91,436,38778,568,1987-07-01,Ace Books,English,Frank Herbert,Science Fiction
67,106,Dune Messiah (Dune Chronicles #2),3.88,331,97494,2359,1987-07-15,Ace Books,English,Frank Herbert,Science Fiction
68,107,Dreamer of Dune: The Biography of Frank Herbert,4.01,592,784,21,2004-07-01,Tor Books,English,Brian Herbert,Biography
69,109,Heretics of Dune (Dune Chronicles  #5),3.86,480,272,20,1984-04-16,Putnam,English,Frank Herbert,Science Fiction
70,110,The Road to Dune,3.88,426,4789,83,2006-08-29,Tor Science Fiction,English,Frank Herbert,Science Fiction
71,117,Heretics of Dune (Dune Chronicles #5),3.86,471,45388,644,1987-08-15,Ace Books,English,Frank Herbert,Science Fiction
72,119,The Lord of the Rings: The Art of the Fellowship of the Ring,4.59,192,26153,102,2002-06-12,Houghton Mifflin Harcourt,English,Gary Russell,Fantasy
73,122,The Power of One (The Power of One  #1),4.35,544,69167,4551,1996-09-29,Ballantine Books,English,Bryce Courtenay,Fiction
74,123,The Power of One (The Power of One  #1),4.35,291,45,13,2005-09-13,Delacorte Books for Young Readers,English,Bryce Courtenay,Fiction
75,129,The Power of One: One Person  One Rule  One Month,4.28,256,16,1,2004-11-01,Thomas Nelson,English,John C. Maxwell,Business
76,130,Power of an Hour: Business and Life Mastery in One Hour a Week,3.34,205,174,16,2006-05-19,Wiley,English,Dave Lakhani,Business
77,131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,3.67,240,10,0,2000-02-07,Heinemann Drama,English,Louis E. Catron,blank
78,132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,3.48,336,76,9,2005-05-03,William Morrow Paperbacks,English,Adam Ginsberg,Business
79,133,eBay for Dummies,3.5,386,111,9,2006-10-30,Wiley,English,Marsha Collier,Reference
80,135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,3.62,260,24,0,2006-01-24,McGraw-Hill,English,Chris Malta,blank
81,137,Starting an eBay Business for Dummies,3.55,384,55,4,2004-09-17,Wiley,English,Marsha Collier,Business
82,138,eBay: Top 100 Simplified Tips & Tricks,4.27,260,9,0,2006-06-06,Wiley,English,Julia Wilkinson,blank
83,139,ebay Timesaving Techniques for Dummies,3.39,391,22,1,2004-05-31,Wiley,English,Marsha Collier,Horror
84,140,eBay Business All-in-One Desk Reference for Dummies,3.89,864,17,3,2005-04-25,Wiley,English,Marsha Collier,Reference
85,141,Ruby Cookbook,3.84,873,166,4,2006-07-29,O'Reilly Media,English,Lucas Carlson,Programming
86,142,Ruby Ann's Down Home Trailer Park Cookbook,4.12,240,50,5,2005-05-03,Citadel,English,Ruby Ann Boxcar,Cookbooks
87,144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,4.08,206,13,2,2005-05-03,Citadel,English,Ruby Ann Boxcar,blank
88,147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,3.48,514,64,1,2007-01-01,O'Reilly Media,English,Rob Orsini,Reference
89,151,Anna Karenina,4.05,838,16643,1851,2004-05-31,Penguin Classics,English,Leo Tolstoy,Classics
90,152,Anna Karenina,4.05,960,109420,5696,2002-11-05,Signet,English,Leo Tolstoy,Classics
91,153,Anna Karenina,4.05,837,2904,309,2003-01-30,Penguin Books,English,Leo Tolstoy,Classics
92,154,CliffsNotes on Tolstoy's Anna Karenina,3.85,80,16,3,1965-11-26,Cliffs Notes,English,Marianne Sturman,blank
93,155,Anna Karenina,4.05,803,9564,726,2003-07-01,Barnes & Noble Classics,English,Leo Tolstoy,Classics
94,156,Anna Karenina,4.05,752,474,72,2004-11-23,Dover Publications,English,Leo Tolstoy,Classics
95,157,Anna Karenina,4.05,803,303,48,2004-08-26,Barnes & Noble,English,Leo Tolstoy,Classics
96,159,Dinner with Anna Karenina,2.99,360,411,65,2006-01-28,Mira Books,English,Gloria Goldreich,Fiction
97,160,Tolstoy: Anna Karenina,4.19,128,1204,33,1987-11-26,Cambridge University Press,English,Anthony Thorlby,Classics
98,162,Untouchable,3.71,160,3429,279,1990-07-03,Penguin Books,English,Mulk Raj Anand,Fiction
99,163,The Untouchable,3.95,367,2163,216,1998-06-30,Vintage,English,John Banville,Fiction
100,164,The Untouchables,3.89,256,613,31,1996-02-01,Buccaneer Books,English,Eliot Ness,Nonfiction
101,165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,3.82,320,308,40,2005-09-27,Scribner,English,Narendra Jadhav,India
102,166,Dalit: The Black Untaouchables of India,4.2,100,10,0,1995-01-28,Clarity Press,English,V.T. Rajshekar,Asia
103,168,Growing Up Untouchable in India: A Dalit Autobiography,3.65,224,16,4,2000-12-20,Rowman & Littlefield Publishers,English,Vasant Moon,India
104,171,The Evidence-Based Social Work Skills Book,3.4,216,10,0,2003-09-22,Pearson,English,Barry R. Cournoyer,blank
105,177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",4.0,48,17,0,1991-09-28,Teacher Created Resources,English,John Carratello,blank
106,180,Wrinkles in Time,4.01,360,1035,23,1994-10-01,Harper Perennial,English,George Smoot,Science
107,181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),4.0,250,36,6,2002-05-01,EMC/Paradigm Publishing,English,Madeleine L'Engle,Fantasy
108,182,Literature Circle Guide: A Wrinkle in Time,3.6,32,15,0,2002-01-01,Teaching Resources,English,Tara MacCarthy,blank
109,201,Una arruga en el tiempo â A Wrinkle in Time,4.0,205,6,1,1984-06-01,Turtleback Books,Spanish,Madeleine L'Engle,Fantasy
110,204,The Long Shadow (The Morland Dynasty  #6),4.12,367,376,17,1994-06-01,Little  Brown Book Group,English,Cynthia Harrod-Eagles,Historical Fiction
111,205,A Long Shadow (Inspector Ian Rutledge  #8),4.11,352,3086,237,2006-01-03,William Morrow,English,Charles Todd,Mystery
112,207,Long Way Round: Chasing Shadows Across the World,3.94,320,352,44,2005-11-01,Atria Books,English,Ewan McGregor,Travel
113,208,A Shadow in Summer (Long Price Quartet  #1),3.6,331,9852,633,2006-03-07,Tor Books,English,Daniel Abraham,Fantasy
114,213,New Hope for the Dead (Hoke Mosely #2),3.9,244,821,78,2004-08-10,Vintage Crime/Black Lizard,English,Charles Willeford,Crime
115,214,Sideswipe: A Hoke Moseley Novel,4.05,215,731,72,2005-03-08,Vintage Crime/Black Lizard,English,Charles Willeford,Crime
116,216,Miami Blues (Hoke Moseley #1),3.94,191,2897,178,2004-08-10,Vintage Crime/Black Lizard,English,Charles Willeford,Crime
117,230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),3.89,144,98,11,1990-10-03,Vintage,English,Charles Willeford,Fiction
118,231,I am Charlotte Simmons,3.42,738,20888,1688,2005-08-30,Picador USA,English,Tom Wolfe,Fiction
119,237,Poetry for Young People: Edward Lear,3.91,48,66,19,2001-10-01,Sterling,English,Edward Lear,Poetry
120,244,The Puffin Book of Nonsense Verse,4.02,287,81,6,1996-10-03,Puffin,English,Quentin Blake,Poetry
121,245,Henry Miller on Writing,4.22,217,981,52,2064-02-01,New Directions Publishing,English,Henry Miller,Writing
122,247,Quiet Days in Clichy,3.69,154,3381,141,1994-01-13,Grove Press,English,Henry Miller,Fiction
123,249,Tropic of Cancer,3.68,318,53206,2376,1994-01-06,Grove Press,English,Henry Miller,Fiction
124,250,Tropic of Capricorn,3.78,348,14872,459,1994-01-13,Grove Press,English,Henry Miller,Fiction
125,251,Nexus (The Rosy Crucifixion  #3),4.1,316,3261,58,1994-01-13,Grove Press,English,Henry Miller,Fiction
126,252,Sexus (The Rosy Crucifixion  #1),3.98,506,7805,251,1994-01-12,Grove Press,English,Henry Miller,Fiction
127,253,The Air-Conditioned Nightmare,3.83,292,2699,142,1970-01-17,New Directions,English,Henry Miller,Fiction
128,264,The Portrait of a Lady,3.78,797,61640,1951,2003-09-30,Penguin Classics,English,Henry James,Classics
129,269,The Portrait of a Lady,3.78,635,392,41,2004-01-16,Barnes  Noble Classics,English,Henry James,Classics
130,277,Writing,3.75,91,778,44,1999-05-06,Brookline Books,English,Marguerite Duras,Nonfiction
131,278,The War,3.85,192,963,65,1994-08-01,The New Press,English,Marguerite Duras,Nonfiction
132,280,The Ravishing of Lol Stein,3.66,181,2057,128,1986-03-12,Pantheon,English,Marguerite Duras,Fiction
133,285,Love Letters,3.68,178,203,8,1999-07-01,One World (UK),English,Kahlil Gibran,Poetry
134,288,Kahlil Gibran: His Life and World,4.21,464,35,2,1998-04-01,Interlink Publishing Group,English,Jean Gibran,Biography
135,289,The Beloved: Reflections on the Path of the Heart,4.19,102,328,16,1998-01-01,Penguin Books,English,Kahlil Gibran,Poetry
136,290,Jesus the Son of Man,3.98,216,1308,82,1995-02-21,Knopf,English,Kahlil Gibran,Religion
137,291,The Broken Wings,3.92,132,6432,517,2003-03-03,Citadel,English,Kahlil Gibran,Classics
138,292,Sand and Foam,4.08,100,3015,217,2011-06-14,Knopf,English,Kahlil Gibran,Poetry
139,295,Treasure Island,3.83,311,318753,6734,2001-09-15,Kingfisher,English,Robert Louis Stevenson,Classics
140,296,Treasure Island,3.83,213,420,42,2004-10-01,Sterling Children's Books,English,Robert Louis Stevenson,Classics
141,297,Treasure Island,3.83,245,5967,276,2005-06-01,Simon & Schuster,English,Robert Louis Stevenson,Classics
142,298,Treasure Island,3.83,64,104,14,2003-07-01,Atheneum Books for Young Readers,English,Robert Louis Stevenson,Classics
143,299,Treasure Island,3.83,272,56,4,2002-09-03,Gramercy Books,English,Robert Louis Stevenson,Classics
144,302,Treasure Island (Great Illustrated Classics),4.05,232,91,16,2006-01-31,Abdo Publishing Company,English,Deidre S. Laiken,Classics
145,313,100 Years of Lynchings,4.61,270,88,4,1996-11-22,Black Classic Press,English,Ralph Ginzburg,History
146,324,Cien aÃ±os de soledad,4.07,448,63,7,1990-01-01,French & European,Spanish,Gabriel GarcÃ­a MÃ¡rquez,Fiction
147,330,On Beyond Zebra!,4.04,64,2815,164,2055-09-12,Random House Books for Young Readers,English,Dr. Seuss,Picture Books
148,332,The Wedding Clause,3.6,256,95,13,2005-06-07,Zebra,English,Debbie Raleigh,Romance
149,333,The Zebra Wall,3.44,147,217,24,2005-02-15,Greenwillow Books,English,Kevin Henkes,Realistic Fiction
150,337,El perfume: Historia de un asesino,4.02,239,4136,255,2002-06-01,Booket,Spanish,Patrick SÃ¼skind,Fiction
151,348,The Door Into Summer,4.01,304,17232,649,1997-06-17,Del Rey,English,Robert A. Heinlein,Science Fiction
152,350,Stranger in a Strange Land,3.92,528,251872,6241,1991-10-01,Ace,English,Robert A. Heinlein,Science Fiction
153,354,To Sail Beyond the Sunset,3.87,434,10293,193,1988-06-01,Ace Books,English,Robert A. Heinlein,Science Fiction
154,355,Job: A Comedy of Justice,3.78,439,15970,438,1985-10-12,Del Rey,English,Robert A. Heinlein,Science Fiction
155,356,Time for the Stars (Heinlein's Juveniles  #10),3.97,256,6898,200,2006-08-08,Tor Books,English,Robert A. Heinlein,Science Fiction
156,357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),4.06,307,67803,1401,1991-02-15,Pocket Books,English,Douglas Adams,Fiction
157,359,The Salmon of Doubt (Dirk Gently  #3),3.93,298,22091,746,2005-04-26,Del Rey,English,Douglas Adams,Science Fiction
158,362,Wish You Were Here: The Official Biography of Douglas Adams,4.14,368,2623,49,2005-12-27,Del Rey,English,Nick  Webb,Biography
159,367,Douglas Adams's Starship Titanic,3.6,256,885,84,1998-10-27,Ballantine Books,English,Terry Jones,Science Fiction
160,377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,3.93,336,5,0,2003-07-01,Turtleback Books,English,Douglas Adams,Science Fiction
161,382,The Phantom Tollbooth: A Children's Play in Two Acts,4.13,72,100,13,2011-01-12,Samuel French  Inc.,English,Susan Nanus,Plays
162,385,On Bullshit,3.57,67,9358,995,2005-01-30,Princeton University Press,English,Harry G. Frankfurt,Philosophy
163,386,Another Bullshit Night in Suck City,3.78,347,9318,907,2005-09-12,W. W. Norton & Company,English,Nick Flynn,Memoir
164,394,Lincoln at Gettysburg: The Words That Remade America,4.14,317,120,15,1993-06-12,Simon & Schuster,English,Garry Wills,History
165,397,The Gettysburg Address,4.53,32,5239,76,1998-02-02,HMH Books for Young Readers,English,Abraham Lincoln,History
166,399,Underworld,3.92,827,1505,175,1998-07-09,Scribner,English,Don DeLillo,Fiction
167,400,Libra,3.99,480,11857,564,1991-05-01,Penguin,English,Don DeLillo,Fiction
168,403,Americana,3.43,377,393,55,1989-07-06,Penguin Books,English,Don DeLillo,Fiction
169,404,Running Dog,3.43,256,1356,72,1989-07-17,Vintage Contemporaries,English,Don DeLillo,Fiction
170,406,Cosmopolis,3.22,224,460,41,2004-04-06,Scribner,English,Don DeLillo,Fiction
171,407,Great Jones Street,3.48,272,2492,145,1994-01-01,Penguin Books,English,Don DeLillo,Fiction
172,408,The Names,3.64,339,3100,212,1989-07-17,Vintage,English,Don DeLillo,Fiction
173,409,Against the Day,4.13,1085,5296,587,2006-11-21,Penguin Press,English,Thomas Pynchon,Fiction
174,410,V.,3.96,547,1415,177,2005-07-05,Harper Perennial Modern Classics,English,Thomas Pynchon,Fiction
175,411,The Crying of Lot 49,3.69,152,2161,230,1999-04-01,Harper Perennial,English,Thomas Pynchon,Fiction
176,412,Gravity's Rainbow,4.01,784,762,213,2000-01-01,Penguin Books,English,Thomas Pynchon,Fiction
177,413,Mason & Dixon,4.07,773,8086,602,2004-01-03,Picador USA,English,Thomas Pynchon,Fiction
178,414,Vineland,3.69,385,702,69,1997-09-01,Penguin Classics,English,Thomas Pynchon,Fiction
179,415,Gravity's Rainbow,4.01,776,29764,2164,2006-10-31,Penguin Books,English,Thomas Pynchon,Fiction
180,416,Slow Learner: Early Stories,3.5,193,334,34,1985-04-30,Back Bay Books,English,Thomas Pynchon,Fiction
181,418,Been Down So Long It Looks Like Up To Me,3.8,352,2473,220,1996-08-29,Penguin Classics,English,Richard FariÃ±a,Fiction
182,420,The Year of Magical Thinking,3.89,227,2656,336,2005-10-04,Knopf Publishing Group,English,Joan Didion,Nonfiction
183,421,The White Album,4.17,222,11889,738,1990-10-01,Farrar Straus Giroux,English,Joan Didion,Nonfiction
184,422,A Book of Common Prayer,3.8,272,2962,255,1995-04-11,Vintage International,English,Joan Didion,Fiction
185,423,Where I Was From,3.86,240,2842,292,2004-09-14,Vintage,English,Joan Didion,Nonfiction
186,424,Slouching Towards Bethlehem,4.21,238,26934,1825,1990-10-01,Farrar Straus Giroux,English,Joan Didion,Nonfiction
187,425,Democracy,3.81,234,2070,169,1995-04-25,Vintage International,English,Joan Didion,Fiction
188,426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,4.5,1122,1564,108,2006-10-17,Everyman's Library,English,Joan Didion,Nonfiction
189,428,Play It As It Lays,3.87,231,23656,1706,2005-11-15,Farrar  Straus and Giroux,English,Joan Didion,Fiction
190,431,The New York Trilogy,3.89,308,43200,1873,2006-03-28,Penguin Classics,English,Paul Auster,Fiction
191,432,City of Glass (The New York Trilogy  #1),3.79,203,12410,734,1987-04-07,Penguin Books,English,Paul Auster,Fiction
192,434,Ghosts (The New York Trilogy  #2),3.64,96,3672,195,1987-07-07,Penguin Books,English,Paul Auster,Fiction
193,435,The Locked Room (The New York Trilogy  #3),3.89,179,2998,164,1986-11-01,Sun and Moon Press,English,Paul Auster,Fiction
194,444,Pyramids of Montauk: Explorations in Consciousness,3.89,256,74,2,1995-01-01,Sky Books (NY),English,Peter Moon,Conspiracy Theories
195,446,The Brooklyn Follies,3.84,306,17977,1157,2006-10-17,Picador,English,Paul Auster,Fiction
196,447,Moon Palace,3.94,320,16099,503,1990-04-01,Penguin Books,English,Paul Auster,Fiction
197,453,The Music of Chance,3.9,217,361,36,1991-12-01,Penguin Books,English,Paul Auster,Fiction
198,454,Travels in the Scriptorium,3.23,145,6688,562,2007-01-23,Henry Holt & Company,English,Paul Auster,Fiction
199,456,Leviathan,3.96,275,11744,443,1993-09-01,Penguin Books,English,Paul Auster,Fiction
200,463,The Red Notebook: True Stories,3.77,104,2390,120,2002-06-17,New Directions,English,Paul Auster,Nonfiction
201,466,Timbuktu / Leviathan / Moon Palace,4.38,1075,21,1,2002-11-07,Actes Sud,French,Paul Auster,blank
202,475,Collapse: How Societies Choose to Fail or Succeed,3.93,608,52522,2780,2005-12-27,Penguin Books Ltd. (London),English,Jared Diamond,History
203,476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,3.4,211,213,26,2006-02-01,Business Plus,English,Stephen Leeb,Economics
204,477,Collapse of Complex Societies,4.15,262,719,86,1990-03-29,Cambridge University Press,English,Joseph A. Tainter,History
205,478,Bowling Alone: The Collapse and Revival of American Community,3.8,544,4762,512,2001-08-07,Simon  Schuster,English,Robert D. Putnam,Nonfiction
206,481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,3.91,272,62,4,2002-01-29,Ballantine Books,English,Philip K. Howard,Nonfiction
207,484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,4.39,576,278,20,1998-09-17,W. W. Norton  Company,English,Joy Harjo,Poetry
208,493,My Inventions,4.01,88,2862,262,2006-05-17,Filiquarian Publishing  LLC.,English,Nikola Tesla,Biography
209,494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,3.78,542,2829,334,2001-02-01,Citadel,English,Marc J.  Seifer,Biography
210,497,Nikola Tesla: A Spark of Genius,3.93,144,105,5,1994-10-01,Lerner Publications,English,Carol Dommermuth-Costa,Biography
211,498,Tesla Papers,4.13,100,102,2,2000-12-01,Adventures Unlimited Press,English,Nikola Tesla,Science
212,511,Boys of Summer,3.77,249,478,12,2006-06-27,Harlequin Blaze,English,Julie Elizabeth Leto,Romance
213,515,Programming Ruby: The Pragmatic Programmers' Guide,4.03,828,1577,49,2004-10-11,Pragmatic Bookshelf,English,Dave Thomas,Programming
214,523,Golding's Lord of the Flies (Cliffs Notes),3.95,112,73,8,2000-06-13,Cliffs Notes,English,Maureen Kelly,Reference
215,524,Lord of the Flies,3.68,6,408,96,2005-10-11,Listening Library (Audio),English,William Golding,Classics
216,531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,4.11,397,1693,100,2006-09-12,Random House,English,Victor Davis Hanson,History
217,534,We Were Not Like Other People,4.14,216,1,0,1989-01-01,HarperCollins Publishers,English,Ephraim Sevela,blank
